1664227800000,19126.36000000,19126.36000000,19126.36000000,19126.36000000,0.00385000,1664228699999,73.63648600,1,0.00000000,0.00000000,0
1664228700000,19121.01000000,19121.01000000,19094.95000000,19102.90000000,0.12676000,1664229599999,2422.68635290,5,0.10418000,1991.10628690,0
1664229600000,19099.89000000,19119.56000000,19085.36000000,19119.56000000,0.16121000,1664230499999,3079.92240930,7,0.12070000,2306.18738920,0
1664230500000,19099.28000000,19155.35000000,19099.28000000,19137.79000000,0.36435000,1664231399999,6972.71134220,19,0.07808000,1493.29478960,0
1664231400000,19168.18000000,19204.07000000,19168.18000000,19196.66000000,0.19982000,1664232299999,3834.74571900,6,0.13468000,2584.57501000,0
1664232300000,19144.05000000,19165.38000000,19135.62000000,19146.21000000,0.35051000,1664233199999,6712.17809870,16,0.12234000,2343.36808200,0
1664233200000,19139.05000000,19139.05000000,19120.46000000,19120.63000000,0.20022000,1664234099999,3830.00011090,14,0.18746000,3585.94852290,0
1664234100000,19177.16000000,19177.16000000,19168.70000000,19168.70000000,0.10099000,1664234999999,1936.25691080,5,0.04899000,939.48451080,0
1664235000000,19184.89000000,19233.46000000,19184.89000000,19225.69000000,0.15286000,1664235899999,2936.01246470,7,0.13554000,2603.09674660,0
1664235900000,19198.97000000,19238.84000000,19183.66000000,19223.58000000,0.43728000,1664236799999,8398.51168500,16,0.23179000,4453.32626410,0
1664236800000,19213.03000000,19300.00000000,19206.55000000,19300.00000000,0.32196000,1664237699999,6190.21374710,14,0.17406000,3347.83093950,0
1664237700000,19313.53000000,19353.69000000,19290.47000000,19290.47000000,0.21246000,1664238599999,4107.97948960,13,0.09102000,1761.13613290,0
1664238600000,19282.64000000,19289.15000000,19268.68000000,19287.47000000,0.58178000,1664239499999,11215.69840860,11,0.31538000,6080.79667040,0
1664239500000,19288.79000000,19344.48000000,19288.79000000,19340.32000000,1.65542000,1664240399999,31942.90775580,15,0.07526000,1454.90474760,0
1664240400000,19342.52000000,19472.69000000,19340.49000000,19472.69000000,0.46380000,1664241299999,8992.43257480,16,0.31183000,6046.94081220,0
